Frequency,QuasiP,Limit,Margin,Meas.,Bandwidth,Height,Pol,Azimuth,Corr.
(MHz),eak,(dB?V/,(dB),Time,(kHz),(cm),,(deg),(dB/m
"",(dB?V/,m),,(ms),,,,,)
"",m),,,,,,,,
45.360000,28.92,40.00,11.08,1000.0,120.000,100.0,V,-132.0,12.5
101.240000,33.18,40.00,6.82,1000.0,120.000,186.0,H,-186.0,10.7
145.400000,37.25,40.00,2.75,1000.0,120.000,175.0,H,-9.0,9.8
146.000000,37.21,40.00,2.79,1000.0,120.000,225.0,H,-5.0,9.8
148.240000,37.60,40.00,2.40,1000.0,120.000,150.0,H,12.0,9.7
150.040000,35.48,40.00,4.52,1000.0,120.000,158.0,H,23.0,9.6
150.800000,35.63,40.00,4.37,1000.0,120.000,208.0,H,-5.0,9.6
221.720000,29.22,40.00,10.78,1000.0,120.000,165.0,H,136.0,11.1
221.840000,30.15,40.00,9.85,1000.0,120.000,143.0,H,-123.0,11.1
222.360000,29.78,40.00,10.22,1000.0,120.000,151.0,H,-140.0,11.1
291.320000,41.66,47.00,5.34,1000.0,120.000,165.0,V,-5.0,13.5
292.600000,42.40,47.00,4.60,1000.0,120.000,179.0,V,-23.0,13.5
299.120000,41.93,47.00,5.07,1000.0,120.000,118.0,H,-99.0,13.8
302.880000,40.64,47.00,6.36,1000.0,120.000,104.0,H,-82.0,13.8
303.080000,40.44,47.00,6.56,1000.0,120.000,110.0,H,-99.0,13.8
304.040000,38.32,47.00,8.68,1000.0,120.000,111.0,H,-68.0,13.8
Frequency,Preamp,Trd Corr.,Raw Rec,Comment
(MHz),(dB),(dB/m),(dB?V),
45.360000,0.0,12.1,16.4,13:29:22 - 24.06.2019
"Frequency(MHz)","Preamp(dB)","Trd Corr.(dB/m)","Raw Rec(dB?V)",Comment
101.240000,0.0,10.2,22.4,13:07:05 - 24.06.2019
145.400000,0.0,9.1,27.4,13:22:05 - 24.06.2019
146.000000,0.0,9.1,27.4,13:23:34 - 24.06.2019
148.240000,0.0,9.0,27.9,13:19:07 - 24.06.2019
150.040000,0.0,8.9,25.9,13:20:28 - 24.06.2019
150.800000,0.0,8.9,26.0,13:25:05 - 24.06.2019
221.720000,0.0,10.2,18.1,13:26:58 - 24.06.2019
221.840000,0.0,10.2,19.0,13:08:43 - 24.06.2019
222.360000,0.0,10.2,18.7,13:10:15 - 24.06.2019
291.320000,0.0,12.5,28.2,13:31:14 - 24.06.2019
292.600000,0.0,12.5,28.9,13:32:51 - 24.06.2019
299.120000,0.0,12.7,28.2,13:11:51 - 24.06.2019
302.880000,0.0,12.8,26.8,13:13:16 - 24.06.2019
303.080000,0.0,12.8,26.6,13:14:41 - 24.06.2019
304.040000,0.0,12.8,24.5,13:16:00 - 24.06.2019
